gene name	UniProt ID	logFC	P.Value
SELL	P14151	0.180370997	0.000897749
ADAMTS15	Q8TE58	0.177067371	0.000992552
ROBO1	Q9Y6N7	0.231875619	0.000997757
BOC	Q9BWV1	0.121766572	0.001028077
NCAN	O14594	-0.032672175	0.001030372
CD200	P41217	0.131304691	0.001098344
ICOSLG	O75144	0.154591523	0.00110071
CLSTN3	Q9BQT9	0.12598809	0.001147814
NECTIN4	Q96NY8	0.12403525	0.00115202
BMP6	P22004	0.172468438	0.00117796
NUCB2	P80303	0.180489614	0.001361509
CXCL8	P10145	0.146755881	0.001429353
CNTN2	Q02246	-0.036523415	0.001457851
SCARA5	Q6ZMJ2	0.165618314	0.001472139
CTSZ	Q9UBR2	0.135224701	0.00153703
KLRD1	Q13241	0.140528439	0.00156045
REG1A	P05451	0.263474606	0.001610732
CLUL1	Q15846	0.163639906	0.001667297
ADGRE5	P48960	0.197198708	0.001671264
MOG	Q16653	-0.0658233	0.001719772
CEACAM1	P13688	0.149800235	0.001949723
GFRA3	O60609	0.154636429	0.001990783
FGF5	P12034	0.141078741	0.002036915
CCL16	O15467	0.226027526	0.002085011
LYN	P07948	0.069252113	0.00212361
VIM	P08670	0.457142186	0.002406982
MET	P08581	0.14101259	0.002436898
XCL1	P47992	0.210568625	0.002767519
MFGE8	Q08431	0.201052886	0.00279669
NRCAM	Q92823	-0.029518766	0.002820068
PAM	P19021	0.168403629	0.002899517
B4GAT1	O43505	0.05535659	0.00293992
ANG	P03950	0.154609073	0.002997013
GUSB	P08236	0.156354275	0.003159422
SMAD5	Q99717	0.109626265	0.003214484
CA9	Q16790	0.18523272	0.003425114
TNFRSF4	P43489	0.134883905	0.003686119
VEGFA	P15692	0.122604671	0.003950049
PPIB	P23284	0.16017313	0.004071474
LDLR	P01130	0.144213437	0.004075439
PON3	Q15166	0.143057074	0.004285012
IL12A	P29459	0.133360024	0.00429822
CCL11	P51671	0.117261673	0.004512059
C2	P06681	0.194036702	0.004709041
MB	P02144	0.299197587	0.004779665
PRCP	P42785	0.156581665	0.005180656
VCAN	P13611	0.126399167	0.005519291
STC1	P52823	0.175004842	0.005612873
PTK7	Q13308	0.110597493	0.005688912
TNFRSF13B	O14836	0.155386312	0.005823352
ENTPD6	O75354	0.126690956	0.006085189
SIRPA	P78324	0.215890542	0.006091081
HAVCR1	Q96D42	0.112582049	0.006294499
TIMP4	Q99727	0.146687966	0.006904333
KLK10	O43240	0.169661362	0.007939906
RET	P07949	0.111546824	0.008069714
TGFB1	P01137	0.134547729	0.008135279
TNFSF10	P50591	0.085202826	0.009259042
CRTAM	O95727	0.089422821	0.009651263
CALCA	P01258	0.179732634	0.009726697
CPA1	P15085	0.195713557	0.009863074
MSTN	O14793	0.10460412	0.010057946
GZMB	P10144	0.096144143	0.011117613
MICA	Q29983	0.28446463	0.011246727
MATN2	O00339	0.146255788	0.011320392
CCL21	O00585	0.085417223	0.011842892
MBL2	P11226	0.303207754	0.012223857
IL1R2	P27930	0.151891458	0.014433859
IL18	Q14116	0.119514301	0.015399986
SMPD1	P17405	0.117700351	0.015441302
DPP7	Q9UHL4	0.141785371	0.015550463
CCL19	Q99731	0.20562149	0.016061296
THY1	P04216	-0.021047303	0.016220953
CTSL	P07711	0.094955378	0.016236074
CST3	P01034	-0.03190576	0.016376442
CXCL10	P02778	0.205130923	0.016546024
CTSS	P25774	0.061635652	0.016651754
SEMA7A	O75326	0.092578521	0.01683944
CD5	P06127	0.10846898	0.017320872
IFNLR1	Q8IU57	0.078198804	0.01753247
PLTP	P55058	0.116921149	0.017828823
CD200R1	Q8TD46	0.065224113	0.018871748
COL1A1	P02452	0.081993976	0.018983526
WFIKKN2	Q8TEU8	0.150364441	0.019092981
SERPINA5	P05154	0.154695628	0.019101686
GFRA2	O00451	0.058243688	0.019270743
IL1RN	P18510	0.152998152	0.019696754
TCN2	P20062	0.129136545	0.020267133
FCER2	P06734	0.195128032	0.021118762
TAFA5	Q7Z5A7	0.038118068	0.0213999
ANGPTL7	O43827	0.183001686	0.022012734
CFHR5	Q9BXR6	0.17580563	0.022567302
PRSS2	P07478	0.136955922	0.022571941
PODXL2	Q9NZ53	0.048406643	0.023378859
IGFBP6	P24592	0.121773711	0.025059239
KIT	P10721	0.117129879	0.025140666
OMG	P23515	-0.039254163	0.026038988
SEZ6L	Q9BYH1	0.0266842	0.026253586
CTSD	P07339	0.045026615	0.027085962
IL17RB	Q9NRM6	0.098902163	0.02713978
MYOC	Q99972	0.22676523	0.027633853
IGSF3	O75054	0.096653318	0.028363161
TNFSF14	O43557	0.078862951	0.031994131
CD164	Q04900	0.018661293	0.033686062
IGLC2	P0DOY2	0.189754128	0.03421619
CXCL11	O14625	0.160032905	0.036521193
CDH1	P12830	0.109378951	0.037475795
ENG	P17813	0.096237796	0.037492395
CCL8	P80075	0.127943691	0.037500072
SPINT1	O43278	0.121531477	0.038263858
PLAT	P00750	0.104172645	0.039571176
PLXDC1	Q8IUK5	0.034782889	0.042494477
TIMD4	Q96H15	0.132108837	0.042968809
SLITRK6	Q9H5Y7	0.135473331	0.043188081
BMP4	P12644	0.107910418	0.045361467
REG4	Q9BYZ8	0.14392569	0.045488526
CR2	P20023	0.118051922	0.046174492
CD300LG	Q6UXG3	0.086077898	0.046292561
LILRB5	O75023	0.156592571	0.046493128
VAMP5	O95183	0.039064988	0.053896417
THBS2	P35442	-0.021592253	0.054344758
GP1BA	P07359	0.111072647	0.055131492
ARSA	P15289	0.103934504	0.055651463
FLT4	P35916	0.057340824	0.056025182
EPCAM	P16422	0.121946329	0.059380276
NID2	Q14112	0.103939228	0.060674076
BCAN	Q96GW7	-0.016015779	0.061791522
APP	P05067	0.035510324	0.063898821
GLB1	P16278	0.049512361	0.071567049
CDON	Q4KMG0	0.082326698	0.077162093
COL4A1	P02462	0.109479655	0.080110081
IL1RL2	Q9HB29	0.076535279	0.08594345
CHI3L1	P36222	-0.027981684	0.088657271
PROC	P04070	0.079844488	0.090189068
IL2RA	P01589	0.096709683	0.092162418
ADAM22	Q9P0K1	0.044940104	0.094981068
SPARC	P09486	0.026367869	0.097638593
AMBP	P02760	0.084741739	0.102579938
APOM	O95445	0.120787954	0.103249948
F11	P03951	0.122772866	0.103433018
SERPINA7	P05543	0.098590461	0.107222447
SEMA4C	Q9C0C4	0.054580586	0.1117703
CD177	Q8N6Q3	-0.300601907	0.112886152
GZMA	P12544	0.082018823	0.113930936
CCL18	P55774	0.115795888	0.125870738
KLK8	O60259	0.070224897	0.141044755
FABP4	P15090	0.133082622	0.145423089
CD1C	P29017	0.068973347	0.146306968
CA3	P07451	0.102124168	0.156922038
IDUA	P35475	0.095988038	0.159740871
MSLN	Q13421	0.060730078	0.16561312
CCL4	P13236	0.066414113	0.173660445
IL6	P05231	-0.092572184	0.173849521
WFIKKN1	Q96NZ8	0.044085259	0.176473166
CRELD2	Q6UXH1	0.096102588	0.176874838
LGALS4	P56470	0.066527981	0.181688232
CTSH	P09668	0.10333926	0.19309696
KLK13	Q9UKR3	-0.047450026	0.19388339
CPXM1	Q96SM3	0.09375073	0.19502701
NPTXR	O95502	0.017293465	0.199800053
PCSK9	Q8NBP7	0.05426739	0.200124875
FGF19	O95750	0.071365373	0.200217565
SUMF2	Q8NBJ7	0.050778124	0.217875908
TNXB	P22105	0.042432564	0.227622766
KAZALD1	Q96I82	0.056321645	0.235646902
CA2	P00918	0.104956122	0.238691929
FABP2	P12104	0.071474405	0.245394867
SPON2	Q9BUD6	0.038469031	0.245810343
FST	P19883	0.048457104	0.252299781
KLK11	Q9UBX7	-0.037359456	0.258715279
CALR	P27797	0.022958934	0.260018921
APEX1	P27695	0.046440151	0.264884569
FCRL1	Q96LA6	0.055842177	0.27029384
CRHBP	P24387	-0.042490364	0.292411372
FURIN	P09958	0.023500694	0.296123866
THBD	P07204	-0.057958457	0.314490712
PDGFRA	P16234	0.039329596	0.329770893
DCN	P07585	0.025594896	0.334562676
ENTPD2	Q9Y5L3	0.047969092	0.334872524
PAPPA	Q13219	0.044153826	0.34269063
TPP1	O14773	0.046115083	0.348721549
FCN2	Q15485	0.063396611	0.35923206
PPY	P01298	0.041942815	0.363209632
CRISP2	P16562	0.049829188	0.363932606
KLK14	Q9P0G3	0.048735937	0.377642832
XPNPEP2	O43895	0.069439934	0.385298436
MIA	Q16674	0.011488291	0.389156288
